060,CSC[C@@H](N)C(O)=O
0A1,COc1ccc(C[C@H](N)C(O)=O)cc1
0AR,CC(=O)NC(=N)NCCC[C@H](N)C(O)=O
0EH,CCCCCCC[C@@](C)(N)C(O)=O
0JY,CC(C)(C)C[C@H](N)C(O)=O
1E3,NCCCCCCC[C@H](N)C(O)=O
1TX,COC(=O)CCCC[C@H](N)C(O)=O
28J,CC[C@H](C)[C@@H](N)C(O)=O
2JN,CCCC[C@@](C)(N)C(O)=O
2MR,CNC(NCCC[C@H](N)C(O)=O)=NC
2TL,C[C@@H](O)[C@@H](N)C(O)=O
41H,C[C@H]([C@H](N)C(O)=O)c1ccccc1
4DB,CN(C)c1ccc2C(=O)N(CC[C@H](N)C(O)=O)C(=O)c2c1
4FO,NCC[C@@H](N)C(O)=O
4WQ,CC(C)(C)CCCC[C@H](N)C(O)=O
54C,CC(C)([C@@H]1CO1)n2cc([C@@H](O)[C@H](N)C(O)=O)c3ccccc23
5CT,NCC[C@H](O)CNCCCC[C@H](N)C(O)=O
5GG,NCCCCNCCCC[C@H](N)C(O)=O
5GM,CC[C@H](C)C[C@](C)(N)C(O)=O
5OL,CC(O)(O)NCCCC[C@H](N)C(O)=O
66D,CC[C@@H](C)C[C@](C)(N)C(O)=O
6D6,NCCCN(CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23
6ZS,CC[C@](C)(N)C(O)=O
73C,CCCCOC[C@H](N)C(O)=O
85G,CCNC(=O)CC[C@H](N)C(O)=O
85J,CCCNC(=O)CC[C@H](N)C(O)=O
9DW,CCc1cc(OC)ccc1c2ccc(C[C@H](N)C(O)=O)cc2
9FZ,Cc1cn(CCC[C@H](N)C(O)=O)nn1
9G2,CCc1cn(CCC[C@H](N)C(O)=O)nn1
ABA,CC[C@H](N)C(O)=O
ACB,C[C@@H]([C@@H](N)C(O)=O)C(O)=O
AHO,CC(=O)N(O)CCC[C@H](N)C(O)=O
ALA,C[C@H](N)C(O)=O
ALO,C[C@H](O)[C@H](N)C(O)=O
ALY,CC(=O)NCCCC[C@H](N)C(O)=O
AN6,CCN(CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23
API,N[C@@H](CCC[C@@H](N)C(O)=O)C(O)=O
ARG,N[C@@H](CCCNC(N)=[NH2+])C(O)=O
ASN,N[C@@H](CC(N)=O)C(O)=O
ASP,N[C@@H](CC(O)=O)C(O)=O
B8R,CN(C)C(=O)[C@H](N)CCCCCCC[C@H](N)C(O)=O
BTK,CCCC(=O)NCCCC[C@H](N)C(O)=O
BWV,CCCCNC(=N)NCCC[C@H](N)C(O)=O
C1J,CCCCCCCCNC(=N)NCCC[C@H](N)C(O)=O
C4G,NCCCNC(=N)NCCC[C@H](N)C(O)=O
CYS,N[C@@H](CS)C(O)=O
D11,C[C@H](O[P](O)(O)=O)[C@@H](N)C(O)=O
DA2,CN(C)C(=N)NCCC[C@H](N)C(O)=O
DAB,NCC[C@H](N)C(O)=O
DBB,CC[C@@H](N)C(O)=O
DI7,Cc1cc(O)cc(C)c1C[C@H](N)C(O)=O
DIV,CC[C@@](C)(N)C(O)=O
DLE,CC(C)C[C@@H](N)C(O)=O
DLY,NCCCC[C@@H](N)C(O)=O
DTH,C[C@H](O)[C@@H](N)C(O)=O
DVA,CC(C)[C@@H](N)C(O)=O
EEP,C[C@](O)(CO)C[C@H](N)C(O)=O
