#prot   lig bin   score
   Br    Br 1.00   0.0000
   Br    Br 1.10   0.0000
   Br    Br 1.20   0.0000
   Br    Br 1.30   0.0000
   Br    Br 1.40   0.0000
   Br    Br 1.50   0.0000
   Br    Br 1.60   0.0000
   Br    Br 1.70   0.0000
   Br    Br 1.80   0.0000
   Br    Br 1.90   0.0000
   Br    Br 2.00   0.0000
   Br    Br 2.10   0.0000
   Br    Br 2.20   0.0000
   Br    Br 2.30   0.0000
   Br    Br 2.40   0.0000
   Br    Br 2.50   0.0000
   Br    Br 2.60   0.0000
   Br    Br 2.70   0.0000
   Br    Br 2.80   0.0000
   Br    Br 2.90   0.0000
   Br    Br 3.00   0.0000
   Br    Br 3.10   0.0000
   Br    Br 3.20   0.0000
   Br    Br 3.30   0.0000
   Br    Br 3.40   0.0000
   Br    Br 3.50   0.0000
   Br    Br 3.60   0.0000
   Br    Br 3.70   0.0000
   Br    Br 3.80   0.0000
   Br    Br 3.90   0.0000
   Br    Br 4.00   0.0000
   Br    Br 4.10   0.0000
   Br    Br 4.20   0.0000
   Br    Br 4.30   0.0000
   Br    Br 4.40   0.0000
   Br    Br 4.50   0.0000
   Br    Br 4.60   0.0000
   Br    Br 4.70   0.0000
   Br    Br 4.80   0.0000
   Br    Br 4.90   0.0000
   Br    Br 5.00   0.0000
   Br    Br 5.10   0.0000
   Br    Br 5.20   0.0000
   Br    Br 5.30   0.0000
   Br    Br 5.40   0.0000
   Br    Br 5.50   0.0000
   Br    Br 5.60   0.0000
   Br    Br 5.70   0.0000
   Br    Br 5.80   0.0000
   Br    Br 5.90   0.0000
   Br   C.2 1.00   0.0000
   Br   C.2 1.10   0.0000
   Br   C.2 1.20   0.0000
   Br   C.2 1.30   0.0000
   Br   C.2 1.40   0.0000
   Br   C.2 1.50   0.0000
   Br   C.2 1.60   0.0000
   Br   C.2 1.70   0.0000
   Br   C.2 1.80   0.0000
   Br   C.2 1.90   0.0000
   Br   C.2 2.00   0.0000
   Br   C.2 2.10   0.0000
   Br   C.2 2.20   0.0000
   Br   C.2 2.30   0.0000
   Br   C.2 2.40   0.0000
   Br   C.2 2.50   0.0000
   Br   C.2 2.60   0.0000
   Br   C.2 2.70   0.0000
   Br   C.2 2.80   0.0000
   Br   C.2 2.90   0.0000
   Br   C.2 3.00   0.0000
   Br   C.2 3.10   0.0000
   Br   C.2 3.20   0.0000
   Br   C.2 3.30   0.0000
   Br   C.2 3.40   0.0000
   Br   C.2 3.50   0.0000
   Br   C.2 3.60   0.0000
   Br   C.2 3.70   0.0000
   Br   C.2 3.80   0.0000
   Br   C.2 3.90   0.0000
   Br   C.2 4.00   0.0000
   Br   C.2 4.10   0.0000
   Br   C.2 4.20   0.0000
   Br   C.2 4.30   0.0000
   Br   C.2 4.40   0.0000
   Br   C.2 4.50   0.0000
   Br   C.2 4.60   0.0000
   Br   C.2 4.70   0.0000
   Br   C.2 4.80   0.0000
   Br   C.2 4.90   0.0000
   Br   C.2 5.00   0.0000
   Br   C.2 5.10   0.0000
   Br   C.2 5.20   0.0000
